prov_title,quiz_name,question_count,question_text,question_img,choise_header,choise_text,choise_img,correct_answer,questiondescription_img,questiondescription_txt


"Högskoleprovet HT 2013","kvantitativ 1",1,"Vilket av svarsalternativen är jämnt delbart med 3?","","A","13","","True","",""
"Högskoleprovet HT 2013","kvantitativ 1",1,"Vilket av svarsalternativen är jämnt delbart med 3?","","B","91","","False","",""
"Högskoleprovet HT 2013","kvantitativ 1",1,"Vilket av svarsalternativen är jämnt delbart med 3?","","C","455","","False","",""
"Högskoleprovet HT 2013","kvantitativ 1",1,"Vilket av svarsalternativen är jämnt delbart med 3?","","D","819","","False","",""

"Högskoleprovet HT 2013","kvantitativ 1",2,"Vilket alternativ motsvarar: Arean är mindre än 10 areaenheter för en rektangel vars längd är tre gånger så stor som dess bredd, och där bredden är x längdenheter?","","A","\[3x^2 < 10\]","","True","",""
"Högskoleprovet HT 2013","kvantitativ 1",2,"Vilket alternativ motsvarar: Arean är mindre än 10 areaenheter för en rektangel vars längd är tre gånger så stor som dess bredd, och där bredden är x längdenheter?","","B","4x < 10","","False","",""
"Högskoleprovet HT 2013","kvantitativ 1",2,"Vilket alternativ motsvarar: Arean är mindre än 10 areaenheter för en rektangel vars längd är tre gånger så stor som dess bredd, och där bredden är x längdenheter?","","C","\[3x^2 > 10\]","","False","",""
"Högskoleprovet HT 2013","kvantitativ 1",2,"Vilket alternativ motsvarar: Arean är mindre än 10 areaenheter för en rektangel vars längd är tre gånger så stor som dess bredd, och där bredden är x längdenheter?","","D","\[6x^2 < 10\]","","False","",""


"Högskoleprovet HT 2013","kvantitativ 1",3,"Vilket av svarsförslagen ligger närmast \[ \sqrt{84} \] - \[ \sqrt{10} \]","","A","4","","True","",""
"Högskoleprovet HT 2013","kvantitativ 1",3,"Vilket av svarsförslagen ligger närmast \[ \sqrt{84} \] - \[ \sqrt{10} \]","","B","6","","False","",""
"Högskoleprovet HT 2013","kvantitativ 1",3,"Vilket av svarsförslagen ligger närmast \[ \sqrt{84} \] - \[ \sqrt{10} \]","","C","8","","False","",""
"Högskoleprovet HT 2013","kvantitativ 1",3,"Vilket av svarsförslagen ligger närmast \[ \sqrt{84} \] - \[ \sqrt{10} \]","","D","10","","False","",""

"Högskoleprovet HT 2013","kvantitativ 1",4,"En låda innehåller 50 enfärgade kulor: vita och svarta. Förhållandet mellan antalet vita och svarta kulor är 4:1. \[ \textbf{Hur många svarta kulor måste läggas i lådan för att förhållandet ska ändras till 1:4?} \]","","A","110","","True","",""
"Högskoleprovet HT 2013","kvantitativ 1",4,"En låda innehåller 50 enfärgade kulor: vita och svarta. Förhållandet mellan antalet vita och svarta kulor är 4:1. \[ \textbf{Hur många svarta kulor måste läggas i lådan för att förhållandet ska ändras till 1:4?} \]","","B","150","","False","",""
"Högskoleprovet HT 2013","kvantitativ 1",4,"En låda innehåller 50 enfärgade kulor: vita och svarta. Förhållandet mellan antalet vita och svarta kulor är 4:1. \[ \textbf{Hur många svarta kulor måste läggas i lådan för att förhållandet ska ändras till 1:4?} \]","","C","190","","False","",""
